psu_current,A,vc97_ammeter_current_A,keithley_195A_mV
0.10,0.098,4.16
0.21,0.211,9.006
0.31,0.302,12.873
0.40,0.394,16.774
0.51,0.508,21.58
0.60,0.599,25.45
0.69,0.690,29.31
0.81,0.804,34.14
0.90,0.895,38.04
1.02,1.008,42.87
1.11,1.098,46.75
1.20,1.189,50.60
1.31,1.301,55.41
1.40,1.391,59.30
1.49,1.481,63.18
1.60,1.593,68.01
1.71,1.705,72.85
1.80,1.795,76.73
1.90,1.885,80.64
2.01,1.996,85.45
2.12,2.107,90.30
2.20,2.195,94.18
2.29,2.285,98.11
2.41,2.394,102.94
2.52,2.505,107.86
2.61,2.594,111.85
2.71,2.704,116.73
2.80,2.792,120.63
2.91,2.902,125.65
3.00,2.989,129.60
3.11,3.098,134.56
3.20,3.184,138.46
